city,count
,86
Aleksinac,4
Alibunar,5
Apatin,1
Aranđelovac,25
Baćevac,1
Bačka Palanka,4
Bačka Topola,3
Bački Jarak,4
Bački Monoštor,1
Bački Petrovac,1
Bačko Dobro Polje,1
Banatska Palanka,1
Banatski Karlovac,1
Banja Koviljača,1
Banja Luka,2
Banja Vrujci,2
Banoštor,6
Baošići,1
Bar,31
Barič,1
Batočina,2
Bavanište,1
Bečej,8
Bečići,3
Bečmen,3
Begeč,7
Bela Crkva,2
Bela Palanka,1
Belegiš,2
Beli Potok,1
Beočin,6
Beograd,15305
Beška,9
Bijela,1
Bjeliši,1
Blace,1
Blizikuće,3
Bogatić,4
Boleč,7
Bor,1
Bosilegrad,1
Boždarevac,1
Brestovik,1
Brodarevo,1
Brus,1
Brzi Brod,1
Bubanj,3
Budisava,1
Budva,24
Bujanovac,2
Bukovac,3
Bukovik,1
Buljarica,1
Čačak,8
Čajetina,3
Čenej,7
Čenta,1
Čerević,5
Ćićevac,1
Čortanovci,5
Crepaja,2
Ćuprija,156
Čurug,2
Debeljača,1
Debrc,1
Deč,1
Đenovići,1
Desimirovac,1
Despotovac,2
Dimitrovgrad,1
Divci,1
Divčibare,1
Dobanovci,1
Dobra Voda,7
Dobrota,12
Doljevac,1
Donja Lastva,2
Donja Šatornja,2
Donji Orahovac,3
Donji Stoliv,2
Dražanj,1
Draževac,1
Duboka,1
Đuraševići,2
Ečka,1
Erdeč,2
Futog,22
Gaj,1
Glibovac,1
Gložan,1
Golubac,2
Gornje Međurovo,2
Gornji Milanovac,5
Gračac,1
Grocka,3
Grošnica,1
Herceg Novi,17
Hrvatska Kostajnica,3
Igalo,1
Inđija,23
Irig,11
Ivanje,1
Jabučje,1
Jabuka,2
Jagodina,373
Jakovo,1
Jazak,1
Kać,22
Kamendol,1
Karaula,1
Karlovčić,2
Katun Reževići,4
Kavač,1
Kikinda,4
Kladovo,1
Knić,3
Knjaževac,1
Kolašin,1
Kopaonik,28
Kostanjica,2
Kotor,21
Kovačica,18
Kovilj,4
Kovin,18
Kragujevac,805
Kraljevo,17
Krašići,1
Krčedin,4
Krimovica,5
Krnješevci,1
Kruče,1
Krušedol Selo,2
Kruševac,12
Kukujevci,1
Kuršumlija,1
Lajkovac (varoš),1
Lapčići,1
Lazarevac,3
Ledinci,6
Leskovac,2
Lešnica,1
Ležimir,1
Lipik,1
Lipolist,1
Lipovac,1
Lipovica,1
Lisović,2
Ljig,1
Loznica,18
Luštica,4
Mačvanska Mitrovica,3
Majur,1
Mala Moštanica,2
Mali Zvornik,1
Malošište,3
Markovići,1
Maršić,1
Medoševac,3
Melenci,1
Meljak,5
Mesić,1
Mionica,1
Mionica (selo),1
Mislođin,1
Mladenovac (selo),2
Mladenovac (varoš),21
Mladenovo,1
Mošorin,1
Muo,1
Nadalj,1
Negotin,1
Neštin,2
Niš,562
Niška Banja,4
Nova Pazova,7
Nova Varoš,3
Novi Banovci,31
Novi Bečej,1
Novi Kneževac,1
Novi Pazar,1
Novi Sad,1643
Novi Slankamen,3
Novo Selo,2
Obrenovac,21
Omoljica,1
Opovo,1
Osečenica,1
Padinska Skela,2
Pakovraće,1
Pančevo,67
Paraćin,193
Parcani,1
Pavlovci,1
Pećinci,9
Perast,6
Perlez,1
Perućac,4
Petrovac na Moru,3
Petrovaradin,128
Pirot,1
Plandište,2
Pljevlja,1
Podgorica,6
Podi,1
Popinci,1
Popović,1
Popovica,1
Požarevac,6
Požega,1
Prijepolje,27
Progar,1
Prokuplje,3
Pružatovac,1
Pržno,1
Radanović,1
Radojevo,1
Radovići,1
Rakovac,4
Ralja,4
Ratajska,1
Ravno Selo,1
Rekovac,6
Rijeka Reževići,2
Ripanj,8
Risan,1
Ritopek,1
Rogača,1
Ruma,12
Rumenka,12
Šabac,14
Šajkaš,1
Sakule,4
Saranovo,1
Šašinci,1
Sečanj,1
Senta,1
Sevojno,1
Šid,2
Šimanovci,1
Sirig,1
Sivac,1
Slanci,1
Šljivovica,1
Smederevo,29
Smederevska Palanka,6
Sokobanja,3
Sombor,5
Sopot,2
Srbobran,2
Sremska Kamenica,184
Sremska Mitrovica,13
Sremski Karlovci,29
Stara Pazova,42
Starčevo,4
Stari Banovci,4
Stari Slankamen,1
Stepanovićevo,1
Štitar,1
Strp,5
Stubičke Toplice,1
Stubline,1
Subotica,6
Supetar,1
Surduk,2
Šušanj,1
Sutomore,3
Sveti Stefan,2
Svilajnac,2
Svrljig,1
Takovo,1
Temerin,4
Titel,5
Tivat,17
Topola,4
Topola (selo),2
Topola (varošica),2
Trebinje,1
Trgovište,1
Ub,3
Ulcinj,2
Umčari,1
Urovci,1
Utrg,1
Uzdin,1
Užice,8
Valjevo,13
Varvarin,5
Velika Moštanica,1
Velika Plana,10
Veliko Gradište,3
Veternik,29
Vilovo,1
Vinča,1
Višegrad,1
Višnjićevo,1
Vladičin Han,5
Vladimirci,3
Voganj,1
Vranić,4
Vranje,47
Vranovo,1
Vrbas,7
Vrbovno,3
Vrčin,2
Vrdnik,7
Vrnjačka Banja,10
Vršac,5
Vrtište,1
Žabalj,3
Žabari,1
Žabljak,3
Zadar,1
Zagora,1
Zaječar,2
Zalug,1
Zaselje,2
Živkovci,1
Zlatibor,111
Zmajevo,1
Zrenjanin,26
Zvečka,1
,9
